t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,0.00000000e+00,8.28342192e-23,1.65222817e-22,2.46716450e-22,3.26858310e-22,4.05180345e-22,4.81199418e-22,5.54413395e-22,6.24297123e-22,6.90298300e-22,7.51833199e-22,8.08282233e-22,8.58985331e-22,9.03237113e-22,9.40281826e-22,9.69308027e-22,9.89442985e-22,9.99746760e-22,9.99205960e-22,9.86727109e-22,9.93079288e-22
1.60000000e-02,0.00000000e+00,9.95689543e-23,1.98933767e-22,2.97878396e-22,3.96162850e-22,4.93510847e-22,5.89597023e-22,6.84033547e-22,7.76355971e-22,8.66008160e-22,9.52326126e-22,1.03452058e-21,1.11165802e-21,1.18264014e-21,1.24618136e-21,1.30078424e-21,1.34471251e-21,1.37596144e-21,1.39222541e-21,1.39086206e-21,1.40092355e-21
2.40000000e-02,0.00000000e+00,7.45147152e-23,1.49295600e-22,2.24591015e-22,3.00613243e-22,3.77519270e-22,4.55390152e-22,5.34208448e-22,6.13833196e-22,6.93971865e-22,7.74148686e-22,8.53668707e-22,9.31576870e-22,1.00661134e-21,1.07715023e-21,1.14115085e-21,1.19608035e-21,1.23883676e-21,1.26565913e-21,1.27202531e-21,1.28478004e-21
3.20000000e-02,0.00000000e+00,5.27447758e-23,1.06099044e-22,1.60655364e-22,2.16971449e-22,2.75550266e-22,3.36817114e-22,4.01092556e-22,4.68560045e-22,5.39226899e-22,6.12877240e-22,6.89015259e-22,7.66797053e-22,8.44949020e-22,9.21670543e-22,9.94518430e-22,1.06027020e-21,1.11476297e-21,1.15270423e-21,1.16745031e-21,1.18321843e-21
4.00000000e-02,0.00000000e+00,4.32068000e-23,8.71371715e-23,1.32506702e-22,1.80013406e-22,2.30324875e-22,2.84060413e-22,3.41766239e-22,4.03881631e-22,4.70693614e-22,5.42277456e-22,6.18419812e-22,6.98520899e-22,7.81471464e-22,8.65499666e-22,9.47982190e-22,1.02521301e-21,1.09212213e-21,1.14193556e-21,1.16576609e-21,1.18487408e-21
4.80000000e-02,0.00000000e+00,4.18209661e-23,8.42643323e-23,1.27960353e-22,1.73552820e-22,2.21700302e-22,2.73070457e-22,3.28324618e-22,3.88089409e-22,4.52911584e-22,5.23191578e-22,5.99090361e-22,6.80403175e-22,7.66392434e-22,8.55570592e-22,9.45422030e-22,1.03205092e-21,1.10973961e-21,1.17039924e-21,1.20289103e-21,1.22527781e-21
5.60000000e-02,0.00000000e+00,4.45431567e-23,8.94401532e-23,1.35072513e-22,1.81874653e-22,2.30353978e-22,2.81102817e-22,3.34798644e-22,3.92188178e-22,4.54049986e-22,5.21128870e-22,5.94033725e-22,6.73088556e-22,7.58123949e-22,8.48193384e-22,9.41195295e-22,1.03337765e-21,1.11869684e-21,1.18799692e-21,1.22796810e-21,1.25330949e-21
6.40000000e-02,0.00000000e+00,4.95510110e-23,9.90806802e-23,1.48615211e-22,1.98273603e-22,2.48308025e-22,2.99136165e-22,3.51361470e-22,4.05775984e-22,4.63338768e-22,5.25120783e-22,5.92204369e-22,6.65522125e-22,7.45615783e-22,8.32290600e-22,9.24134547e-22,1.01786401e-21,1.10744859e-21,1.18295646e-21,1.22904866e-21,1.25695308e-21
7.20000000e-02,0.00000000e+00,5.59111009e-23,1.11389829e-22,1.66066937e-22,2.19697960e-22,2.72221518e-22,3.23811559e-22,3.74919535e-22,4.26300641e-22,4.79015786e-22,5.34397702e-22,5.93965436e-22,6.59266159e-22,7.31616590e-22,8.11707994e-22,8.99028365e-22,9.91042630e-22,1.08205594e-21,1.16166577e-21,1.21268498e-21,1.24280841e-21
8.00000000e-02,0.00000000e+00,6.26261100e-23,1.24447159e-22,1.84728603e-22,2.42877003e-22,2.98510263e-22,3.51525942e-22,4.02164404e-22,4.51061008e-22,4.99278176e-22,5.48303562e-22,5.99994586e-22,6.56441811e-22,7.19713648e-22,7.91432138e-22,8.72113381e-22,9.60185840e-22,1.05057414e-21,1.13270410e-21,1.18774500e-21,1.21983338e-21
8.80000000e-02,0.00000000e+00,6.85644057e-23,1.36055848e-22,2.01468246e-22,2.63931618e-22,3.22785339e-22,3.77655836e-22,4.28536966e-22,4.75868221e-22,5.20601486e-22,5.64241063e-22,6.08833571e-22,6.56873533e-22,7.11076296e-22,7.73951366e-22,8.47085279e-22,9.30012206e-22,1.01851103e-21,1.10211738e-21,1.16057564e-21,1.19446954e-21
9.60000000e-02,0.00000000e+00,7.27317522e-23,1.44275401e-22,2.13493830e-22,2.79357031e-22,3.41007831e-22,3.97840212e-22,4.49590835e-22,4.96440712e-22,5.39118702e-22,5.78990999e-22,6.18110416e-22,6.59185028e-22,7.05406483e-22,7.60052552e-22,8.25744325e-22,9.03193571e-22,9.89217242e-22,1.07372025e-21,1.13525006e-21,1.17087082e-21
1.04000000e-01,0.00000000e+00,7.44956827e-23,1.47863645e-22,2.18999570e-22,2.86854162e-22,3.50480542e-22,4.09103548e-22,4.62214588e-22,5.09691799e-22,5.51939293e-22,5.90030525e-22,6.25828125e-22,6.62034626e-22,7.02103409e-22,7.49904823e-22,8.08995543e-22,8.81276337e-22,9.64739630e-22,1.04989761e-21,1.11433678e-21,1.15166163e-21
1.12000000e-01,0.00000000e+00,7.36668034e-23,1.46437493e-22,2.17402433e-22,2.85636136e-22,3.50216800e-22,4.10277184e-22,4.65094083e-22,5.14219825e-22,5.57653064e-22,5.96036399e-22,6.30853678e-22,6.64578114e-22,7.00690930e-22,7.43445744e-22,7.97191780e-22,8.64983477e-22,9.46087803e-22,1.03184407e-21,1.09912235e-21,1.13815384e-21
1.20000000e-01,0.00000000e+00,7.04700381e-23,1.40418000e-22,2.09265831e-22,2.76337158e-22,3.40841970e-22,4.01901037e-22,4.58621175e-22,5.10229273e-22,5.56267153e-22,5.96839283e-22,6.32889121e-22,6.66454607e-22,7.00815279e-22,7.40387724e-22,7.90145979e-22,8.54230530e-22,9.33252484e-22,1.01958386e-21,1.08963213e-21,1.13036787e-21
1.28000000e-01,0.00000000e+00,6.54526788e-23,1.30852336e-22,1.96046767e-22,2.60700507e-22,3.24241146e-22,3.85851464e-22,4.44522309e-22,4.99179178e-22,5.48890675e-22,5.93157410e-22,6.32262958e-22,6.67640168e-22,7.02161592e-22,7.40194821e-22,7.87163010e-22,8.48205231e-22,9.25324162e-22,1.01211848e-21,1.08479589e-21,1.12720438e-21
1.36000000e-01,0.00000000e+00,5.93612783e-23,1.19175413e-22,1.79757279e-22,2.41160985e-22,3.03088277e-22,3.64845341e-22,4.25366374e-22,4.83322178e-22,5.37329164e-22,5.86266037e-22,6.29688718e-22,6.68303724e-22,7.04409580e-22,7.42135298e-22,7.87181713e-22,8.45587912e-22,9.20777764e-22,1.00775917e-21,1.08280982e-21,1.12681626e-21
