t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,0.00000000e+00,-1.71704768e-06,-6.43522985e-06,-1.34754769e-05,-2.20826437e-05,-3.13699009e-05,-4.02625447e-05,-4.74547426e-05,-5.13928636e-05,-5.02983743e-05,-4.22411417e-05,-2.52695732e-05,2.40337571e-06,4.21702290e-05,9.47814502e-05,1.60124043e-04,2.37088167e-04,3.23599072e-04,4.16898821e-04,5.14153250e-04,6.13346196e-04
1.60000000e-02,0.00000000e+00,-2.10370176e-06,-7.35792129e-06,-1.41707639e-05,-2.09589359e-05,-2.61666778e-05,-2.82722110e-05,-2.57752188e-05,-1.71658181e-05,-8.84350407e-07,2.47090880e-05,6.13283534e-05,1.10687730e-04,1.74335855e-04,2.53389563e-04,3.48193400e-04,4.57979259e-04,5.80659029e-04,7.12937254e-04,8.50955296e-04,9.91556871e-04
2.40000000e-02,0.00000000e+00,-1.79454431e-06,-5.73151878e-06,-9.64217652e-06,-1.14094373e-05,-9.04073920e-06,-7.35523813e-07,1.50722000e-05,3.97117330e-05,7.43209835e-05,1.19932225e-04,1.77572878e-04,2.48336470e-04,3.33365534e-04,4.33690971e-04,5.49902639e-04,6.81692832e-04,8.27417628e-04,9.83943380e-04,1.14714124e-03,1.31330139e-03
3.20000000e-02,0.00000000e+00,-6.18337876e-07,-1.14441336e-06,4.37349766e-07,6.14023984e-06,1.79156157e-05,3.75750780e-05,6.67084500e-05,1.06619623e-04,1.58305801e-04,2.22499788e-04,2.99776351e-04,3.90692831e-04,4.95898051e-04,6.16117074e-04,7.51924892e-04,9.03284290e-04,1.06895798e-03,1.24610168e-03,1.43054157e-03,1.61822224e-03
4.00000000e-02,0.00000000e+00,1.01277721e-06,4.98535206e-06,1.33774993e-05,2.77367346e-05,4.96879441e-05,8.08808450e-05,1.22892652e-04,1.77103689e-04,2.44582714e-04,3.26028430e-04,4.21805235e-04,5.32079108e-04,6.57005705e-04,7.96862675e-04,9.51983238e-04,1.12238197e-03,1.30710821e-03,1.50362719e-03,1.70784746e-03,1.91551173e-03
4.80000000e-02,0.00000000e+00,2.71295390e-06,1.13718829e-05,2.68437073e-05,5.01542426e-05,8.25240064e-05,1.25352349e-04,1.80129990e-04,2.48284565e-04,3.30993174e-04,4.29021756e-04,5.42660538e-04,6.71803907e-04,8.16164520e-04,9.75524077e-04,1.14984150e-03,1.33902510e-03,1.54230338e-03,1.75744471e-03,1.98052469e-03,2.20719259e-03
5.60000000e-02,0.00000000e+00,4.28664811e-06,1.73716436e-05,3.96890685e-05,7.18520871e-05,1.14708969e-04,1.69359024e-04,2.37097643e-04,3.19276536e-04,4.17094683e-04,5.31372647e-04,6.62393503e-04,8.09896127e-04,9.73260177e-04,1.15182175e-03,1.34513330e-03,1.55290552e-03,1.77445357e-03,2.00781103e-03,2.24925049e-03,2.49438657e-03
6.40000000e-02,0.00000000e+00,5.68595991e-06,2.28227885e-05,5.16162204e-05,9.24183749e-05,1.45773096e-04,2.12451082e-04,2.93442439e-04,3.89873297e-04,5.02831736e-04,6.33128609e-04,7.81069473e-04,9.46347817e-04,1.12815181e-03,1.32548172e-03,1.53751630e-03,1.76372263e-03,2.00342014e-03,2.25484598e-03,2.51445839e-03,2.77785888e-03
7.20000000e-02,0.00000000e+00,6.94489731e-06,2.78234517e-05,6.27680373e-05,1.11991046e-04,1.75796304e-04,2.54618893e-04,3.49068342e-04,4.59926377e-04,5.88050161e-04,7.34166509e-04,8.98607444e-04,1.08110499e-03,1.28078529e-03,1.49643072e-03,1.72690162e-03,1.97139834e-03,2.22917286e-03,2.49859945e-03,2.77629680e-03,3.05786225e-03
8.00000000e-02,0.00000000e+00,8.13078958e-06,3.25760763e-05,7.34599895e-05,1.30914818e-04,2.05048830e-04,2.95977782e-04,4.03908917e-04,5.29221551e-04,6.72465829e-04,8.34221801e-04,1.01483054e-03,1.21410527e-03,1.43119829e-03,1.66476651e-03,1.91340247e-03,2.17602642e-03,2.45176460e-03,2.73907158e-03,3.03470703e-03,3.33427682e-03
