t,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
8.00000000e-03,-1.22930334e+06,-9.86618737e+05,-7.24806280e+05,-4.25054827e+05,-6.58881283e+04,3.71908799e+05,9.00240740e+05,1.51871384e+06,2.21011968e+06,2.93708099e+06,3.64083771e+06,4.24339928e+06,4.65441182e+06,4.78398030e+06,4.56220943e+06,3.96523095e+06,3.04581452e+06,1.96419002e+06,1.01139099e+06,4.51416003e+05
1.60000000e-02,-1.45727842e+06,-8.70182440e+05,-2.82193575e+05,2.98648814e+05,8.67086607e+05,1.42402783e+06,1.97780063e+06,2.54243803e+06,3.13244806e+06,3.75414822e+06,4.39464139e+06,5.01085127e+06,5.52256252e+06,5.81478412e+06,5.75540307e+06,5.23320142e+06,4.21784940e+06,2.83636430e+06,1.44884465e+06,5.27814161e+05
2.40000000e-02,-1.19283132e+06,-3.89861980e+05,4.06223282e+05,1.17006280e+06,1.87446421e+06,2.49796961e+06,3.03156596e+06,3.48316210e+06,3.87792627e+06,4.25250842e+06,4.64194116e+06,5.05994675e+06,5.47657995e+06,5.80128177e+06,5.88350442e+06,5.54520608e+06,4.65685416e+06,3.25751833e+06,1.69651651e+06,5.74525795e+05
3.20000000e-02,-3.34818176e+05,4.05208921e+05,1.15251296e+06,1.88934007e+06,2.58970432e+06,3.22293717e+06,3.76048055e+06,4.18511279e+06,4.50000841e+06,4.73338940e+06,4.93383851e+06,5.15257320e+06,5.41297181e+06,5.67468423e+06,5.80881847e+06,5.60910257e+06,4.86618778e+06,3.52045640e+06,1.87349186e+06,6.09906614e+05
4.00000000e-02,8.33668584e+05,1.35822162e+06,1.91343495e+06,2.50133195e+06,3.11102414e+06,3.71438260e+06,4.26870419e+06,4.72708821e+06,5.05466772e+06,5.24557952e+06,5.33261618e+06,5.38050802e+06,5.45673666e+06,5.58237591e+06,5.67984201e+06,5.55154708e+06,4.93527411e+06,3.67470901e+06,1.99834725e+06,6.36575399e+05
4.80000000e-02,2.05148009e+06,2.34909295e+06,2.69558157e+06,3.10961411e+06,3.59670755e+06,4.13833589e+06,4.68863852e+06,5.18144404e+06,5.54817833e+06,5.74317140e+06,5.76761091e+06,5.67890951e+06,5.57186569e+06,5.52556580e+06,5.52805964e+06,5.41766802e+06,4.90549142e+06,3.74728510e+06,2.08248484e+06,6.56290725e+05
5.60000000e-02,3.18702353e+06,3.32220967e+06,3.51167950e+06,3.77902672e+06,4.13973875e+06,4.58813848e+06,5.08834941e+06,5.57386088e+06,5.95996956e+06,6.16989411e+06,6.16845593e+06,5.98865938e+06,5.73064286e+06,5.51579404e+06,5.39765705e+06,5.26713497e+06,4.83244486e+06,3.77608316e+06,2.14281975e+06,6.71803686e+05
6.40000000e-02,4.20764783e+06,4.26141525e+06,4.36184730e+06,4.52455766e+06,4.76612399e+06,5.09387588e+06,5.49279715e+06,5.91522887e+06,6.28168606e+06,6.49968538e+06,6.50027734e+06,6.27969754e+06,5.92087324e+06,5.56546229e+06,5.32281602e+06,5.14485408e+06,4.75789004e+06,3.78954740e+06,2.19200282e+06,6.85161088e+05
7.20000000e-02,5.13490639e+06,5.16786543e+06,5.23181224e+06,5.32548888e+06,5.45895341e+06,5.65000075e+06,5.90959644e+06,6.22186379e+06,6.53007009e+06,6.74193494e+06,6.76184951e+06,6.54300726e+06,6.13282968e+06,5.67121391e+06,5.30949916e+06,5.06354802e+06,4.69548519e+06,3.79727252e+06,2.23416710e+06,6.96994191e+05
8.00000000e-02,6.01226943e+06,6.04881940e+06,6.09975244e+06,6.14437924e+06,6.18177137e+06,6.23546101e+06,6.34041203e+06,6.51610561e+06,6.73825231e+06,6.92752099e+06,6.97134276e+06,6.78028274e+06,6.35516664e+06,5.81622445e+06,5.34246492e+06,5.01289118e+06,4.63939133e+06,3.79611252e+06,2.26781698e+06,7.07014759e+05
8.80000000e-02,6.88304954e+06,6.91216984e+06,6.94468588e+06,6.94397979e+06,6.89709529e+06,6.82717684e+06,6.78494502e+06,6.81978503e+06,6.94117344e+06,7.09111632e+06,7.15113720e+06,6.99575297e+06,6.57588363e+06,5.97970902e+06,5.40051767e+06,4.97656799e+06,4.57929156e+06,3.78046048e+06,2.29057889e+06,7.14819050e+05
9.60000000e-02,7.77701689e+06,7.76359684e+06,7.75235905e+06,7.69834717e+06,7.57819534e+06,7.40812777e+06,7.24247032e+06,7.14869701e+06,7.16487739e+06,7.25883228e+06,7.31773192e+06,7.19135689e+06,6.78399112e+06,6.14436046e+06,5.46753764e+06,4.94410216e+06,4.51048543e+06,3.74898652e+06,2.30225463e+06,7.20397497e+05
1.04000000e-01,8.70569291e+06,8.60562671e+06,8.51742661e+06,8.39687297e+06,8.21329692e+06,7.97010780e+06,7.71209459e+06,7.51023914e+06,7.42236938e+06,7.44376690e+06,7.47850955e+06,7.36572840e+06,6.97087002e+06,6.29944067e+06,5.53624057e+06,4.91427745e+06,4.43636004e+06,3.70602788e+06,2.30535517e+06,7.24212320e+05
1.12000000e-01,9.66468419e+06,9.43817667e+06,9.24253384e+06,9.04249896e+06,8.80363685e+06,8.51223801e+06,8.19210801e+06,7.90372475e+06,7.71480244e+06,7.64782390e+06,7.63381264e+06,7.51602783e+06,7.13129276e+06,6.44053177e+06,5.60652992e+06,4.89244158e+06,4.36541327e+06,3.65921129e+06,2.30387874e+06,7.26976269e+05
1.20000000e-01,1.06397747e+07,1.02598339e+07,9.93567277e+06,9.64681239e+06,9.35833754e+06,9.03743052e+06,8.67910846e+06,8.32228522e+06,8.03544346e+06,7.86653385e+06,7.78130426e+06,7.64073110e+06,7.26394122e+06,6.56761553e+06,5.68155436e+06,4.88548103e+06,4.30637825e+06,3.61585607e+06,2.30155331e+06,7.29343996e+05
1.28000000e-01,1.16134551e+07,1.10690865e+07,1.06071532e+07,1.02246796e+07,9.88902304e+06,9.54897156e+06,9.16760046e+06,8.75538608e+06,8.37407962e+06,8.09388999e+06,7.91986105e+06,7.74165380e+06,7.37120976e+06,6.68283770e+06,5.76403179e+06,4.89757036e+06,4.26433845e+06,3.58021940e+06,2.30052610e+06,7.31685725e+05
1.36000000e-01,1.25697628e+07,1.18650349e+07,1.12670824e+07,1.07901241e+07,1.04059951e+07,1.00485035e+07,9.65039845e+06,9.19126634e+06,8.72041441e+06,8.32546197e+06,8.05149888e+06,7.82435857e+06,7.45828957e+06,6.78875749e+06,5.85420021e+06,4.92825886e+06,4.23923475e+06,3.55255610e+06,2.30095345e+06,7.34020469e+05
1.44000000e-01,1.34967726e+07,1.26475006e+07,1.19237166e+07,1.13540206e+07,1.09164750e+07,1.05356354e+07,1.01197142e+07,9.61891067e+06,9.06597269e+06,8.55941087e+06,8.18118244e+06,7.89703859e+06,7.53178239e+06,6.88735589e+06,5.94958423e+06,4.97295262e+06,4.22671685e+06,3.52990782e+06,2.30143356e+06,7.36096903e+05
1.52000000e-01,1.43871378e+07,1.34167201e+07,1.25826503e+07,1.19233532e+07,1.14244867e+07,1.10086909e+07,1.05685289e+07,1.00294079e+07,9.40472443e+06,8.79595603e+06,8.31526120e+06,7.96856671e+06,7.59822572e+06,6.97971100e+06,6.04600372e+06,5.02489551e+06,4.22038788e+06,3.50788520e+06,2.29991184e+06,7.37555796e+05
1.60000000e-01,1.52375134e+07,1.41729005e+07,1.32466205e+07,1.25014369e+07,1.19315955e+07,1.14658603e+07,1.09918025e+07,1.04167044e+07,9.73293122e+06,9.03617890e+06,8.45954683e+06,8.04653845e+06,7.66289063e+06,7.06608791e+06,6.13900258e+06,5.07748306e+06,4.21425911e+06,3.48255120e+06,2.29461812e+06,7.38096089e+05
1.68000000e-01,1.60476210e+07,1.49158628e+07,1.39156849e+07,1.30885343e+07,1.24378041e+07,1.19061525e+07,1.13872040e+07,1.07778331e+07,1.00486926e+07,9.28091347e+06,8.61783935e+06,8.13592825e+06,7.72908267e+06,7.14619626e+06,6.22502832e+06,5.12599916e+06,4.20451248e+06,3.45173508e+06,2.28470756e+06,7.37587021e+05
1.76000000e-01,1.68193995e+07,1.56448842e+07,1.45876046e+07,1.36825209e+07,1.29422192e+07,1.23298470e+07,1.17552443e+07,1.11127196e+07,1.03514815e+07,9.53011538e+06,8.79128295e+06,8.23861780e+06,7.79800720e+06,7.21945978e+06,6.30203200e+06,5.16835990e+06,4.19017637e+06,3.41549280e+06,2.27046915e+06,7.36102686e+05
